PLAYER,TEAM_BBREF,MP,BPM,SEASON
Wilson Chandler,NYK,685.0,-4.0,2007-08
Javaris Crittenton,2TM,679.0,-4.1,2007-08
Javaris Crittenton,LAL,171.0,-4.3,2007-08
Javaris Crittenton,MEM,508.0,-4.0,2007-08
Juan Dixon,2TM,668.0,-2.3,2007-08
Juan Dixon,TOR,424.0,-2.6,2007-08
Juan Dixon,DET,244.0,-1.8,2007-08
Ryan Bowen,NOH,660.0,-0.8,2007-08
Julian Wright,NOH,640.0,1.8,2007-08
Mardy Collins,NYK,634.0,-6.4,2007-08
Michael Ruffin,MIL,632.0,-1.8,2007-08
Brian Cook,2TM,629.0,-3.8,2007-08
Brian Cook,LAL,70.0,-7.5,2007-08
Brian Cook,ORL,559.0,-3.3,2007-08
Sergio Rodríguez,POR,628.0,-3.7,2007-08
Melvin Ely,NOH,621.0,-5.2,2007-08
Dikembe Mutombo,HOU,619.0,1.3,2007-08
Aaron Gray,CHI,613.0,-3.5,2007-08
Aaron Brooks,HOU,608.0,-0.2,2007-08
Jason Hart,UTA,606.0,-3.3,2007-08
Smush Parker,2TM,592.0,-5.5,2007-08
Smush Parker,MIA,183.0,-4.3,2007-08
Smush Parker,LAC,409.0,-6.0,2007-08
Ronnie Price,UTA,588.0,-0.7,2007-08
Robert Horry,SAS,583.0,0.4,2007-08
Earl Boykins,CHA,577.0,-4.8,2007-08
Marcus Banks,2TM,569.0,-1.5,2007-08
Marcus Banks,PHO,310.0,-2.8,2007-08
Marcus Banks,MIA,259.0,0.1,2007-08
Chris Richard,MIN,556.0,-5.7,2007-08
Brent Barry,SAS,554.0,3.6,2007-08
Darrell Armstrong,NJN,549.0,-2.7,2007-08
Alexander Johnson,MIA,549.0,-6.2,2007-08
Casey Jacobsen,MEM,547.0,-5.6,2007-08
Trevor Ariza,2TM,546.0,2.8,2007-08
Trevor Ariza,ORL,115.0,1.4,2007-08
Trevor Ariza,LAL,431.0,3.1,2007-08
Yakhouba Diawara,DEN,542.0,-3.6,2007-08
Dan Gadzuric,MIL,534.0,-6.1,2007-08
Ryan Hollins,CHA,532.0,-3.8,2007-08
Bobby Jones,5TM,531.0,-3.7,2007-08
Bobby Jones,DEN,222.0,-4.7,2007-08
Bobby Jones,MEM,137.0,-2.0,2007-08
Bobby Jones,HOU,9.0,-10.9,2007-08
Bobby Jones,MIA,143.0,-3.4,2007-08
